author,avatarURL,authorURL
GaryOderNichts,https://avatars.githubusercontent.com/u/12049776?v=4,https://github.com/GaryOderNichts
koolkdev,https://avatars.githubusercontent.com/u/5482304?v=4,https://github.com/koolkdev
Brawl345,https://avatars.githubusercontent.com/u/5049892?v=4,https://github.com/Brawl345
Dimok,https://avatars.githubusercontent.com/u/147322?v=4,https://github.com/Dimok
Maschell,https://avatars.githubusercontent.com/u/8582508?v=4,https://github.com/Maschell
n1ghty,https://avatars.githubusercontent.com/u/17092285?v=4,https://github.com/n1ghty
dibas,https://avatars.githubusercontent.com/u/715695?v=4,https://github.com/dibas
Cid2mizard,https://avatars.githubusercontent.com/u/11552624?v=4,https://github.com/Cid2mizard
jam1garner,https://avatars.githubusercontent.com/u/8260240?v=4,https://github.com/jam1garner
Hilary,https://gbatemp.net/data/avatars/l/402/402441.jpg,https://gbatemp.net/members/hillary_clinton.402441/
Ryuzaki_MrL,https://avatars.githubusercontent.com/u/13871621?v=4,https://github.com/Ryuzaki-MrL
